"gene"
"BCYRN1"
"TMEM170B"
"LIMCH1"
"LOC401115"
"COBLL1"
"TUBB2A"
"TNIP1"
"ARL6IP5"
"AKIRIN2"
"QPRT"
"ALDH3A2"
"MMD"
"LINC00968"
"PALLD"
"PTPN11"
"CALM1"
"DHDDS"
"P2RX6P"
"WFS1"
"MFGE8"
"MAST3"
"TNFRSF11B"
"TMEM20"
"TNMD"
"TM4SF1"
"SQSTM1"
"TRIM8"
"LAMTOR1"
"DEFB103B"
"MEX3B"
"SRXN1"
"SPTAN1"
"HCAR2"
"EHD2"
"MRAS"
"OKL38"
"PPP2R1B"
"CYB561A3"
"FZD4"
"RBPMS2"
"UCHL1"
"C20orf24"
"ITPK1"
"VGLL3"
"CCND2"
"SC4MOL"
"ARHGAP21"
"NOTCH3"
"BAMBI"
"HIST1H4H"
"AQP1"
"LOC727855"
"CFH"
"ANKRD38"
"SPARC"
"CD248"
"TRIM6"
"ANGPT1"
"SCARB1"
"CLMP"
