"gene"
"MAP3K5"
"BCYRN1"
"TMEM170B"
"LIMCH1"
"LOC401115"
"COBLL1"
"TUBB2A"
"LOC644322"
"CIDEA"
"TNIP1"
"ARL6IP5"
"AKIRIN2"
"QPRT"
"ALDH3A2"
"AGTR1"
"LOC440055"
"MMD"
"LINC00968"
"PALLD"
"PTPN11"
"CALM1"
"DHDDS"
"P2RX6P"
"WFS1"
"MFGE8"
"MAST3"
"TNFRSF11B"
"HNRNPH3"
"LOC646200"
"TMEM20"
"TNMD"
"LOC642989"
"TM4SF1"
"COL6A3"
"GALM"
"SQSTM1"
"TRIM8"
"LONRF1"
"FGFBP2"
"LAMTOR1"
"DEFB103B"
"MEX3B"
"LOC127295"
"SRXN1"
"SPTAN1"
"HCAR2"
"EHD2"
"MRAS"
"FST"
"OKL38"
"SAV1"
"LCP1"
"APOE"
"PPP2R1B"
"CYB561A3"
"FZD4"
"RBPMS2"
"COLEC12"
"DCN"
"FIGF"
"SLF2"
"FAM128A"
"UCHL1"
"C20orf24"
"CRABP2"
"MTE"
"PAPLN"
"ITPK1"
"VGLL3"
"CCND2"
"SC4MOL"
"RPL21"
"HLF"
"ARHGAP21"
"DENND2D"
"NOTCH3"
"IGFBP3"
"PPAP2B"
"SDC2"
"BAMBI"
"KLF15"
"HIST1H4H"
"ORC4"
"MGME1"
"STMN3"
"LOC387934"
"AQP1"
"FBP1"
"FABP5"
"LOC727855"
"CFH"
"ANKRD38"
"ALDH1L1"
"SPARC"
"CD248"
"TRIM6"
"AGPAT9"
"TMEM252"
"ANGPT1"
"FNDC1"
"SCARB1"
"P2RX4"
"C20orf127"
"JAK2"
"CLMP"
