"gene"
"MAP3K5"
"LOC644322"
"CIDEA"
"AGTR1"
"LOC440055"
"HNRNPH3"
"LOC646200"
"LOC642989"
"COL6A3"
"GALM"
"LONRF1"
"FGFBP2"
"LOC127295"
"FST"
"SAV1"
"LCP1"
"APOE"
"COLEC12"
"DCN"
"FIGF"
"SLF2"
"FAM128A"
"CRABP2"
"MTE"
"PAPLN"
"RPL21"
"HLF"
"DENND2D"
"IGFBP3"
"PPAP2B"
"SDC2"
"KLF15"
"ORC4"
"MGME1"
"STMN3"
"LOC387934"
"FBP1"
"FABP5"
"ALDH1L1"
"AGPAT9"
"TMEM252"
"FNDC1"
"P2RX4"
"C20orf127"
"JAK2"
